TiempoLlave , TiempoPosicion 
2137866461,9163497
2115289851,8588964
149669175,3944682
100998491,4435396
87780598,2953294
123306689,2520361
69019711,3570672
58126512,4260897
124166647,3249023
54467064,3699916
451255929,3858493
70932178,2296059
170614796,4003516
150613806,4050385
62358964,3016105
67480742,3574946
31323949,3276522
61611736,2862110
36608141,2077253
41842901,2012194
70595929,2100521
90014205,2320898
73856842,3306881
59994332,3826859
65954410,3734003
90435790,2341801
67669376,2157085
70036335,2015241
74535242,3495772
39446494,2039693
78848255,2205334
39345174,2623792
98397668,1971997
58093605,2274107
74872322,2083496
83998650,2230457
51513803,2619818
91392172,3364046
80878972,3151449
72212507,3116093
74877887,3098339
33272313,1925375
36590373,2643671
42279764,2157390
132482285,1901752
104086229,3082146
42505992,2859916
29466879,1968251
54197374,3248322
61770143,1893481
67159575,1902273
98768703,2019820
30847927,2346250
28326035,2139968
51987486,2546225
120324722,2211024
61905602,1947745
148922872,2327634
41213700,1969037
62580860,2995887
54127478,1919095
52953516,2901890
68870757,4400874
38375821,2330357
61267423,3202658
31744620,1866192
37523755,1599380
38800547,2191070
31983492,1616550
52589723,2786713
71482176,1775890
37833799,1907753
54682641,3487489
70703933,3284375
150180189,1839608
61561273,3244298
60857206,2829536
92450616,4388495
39182722,1667249
67926666,2986828
59606044,1924218
32850647,2111688
71456645,1815819
76823069,3027936
60965787,2097570
42966303,1889319
70334666,1861766
62635786,2043720
45790884,2200287
32603557,1807569
47693287,2424999
46701521,2460032
30008092,1776453
100276899,2214986
29033165,2064000
49525139,2312581
41790951,1813161
38430455,1590918
89997623,1851247
72400170,1874868
72082342,3234579
43500126,2184752
40316369,3186068
45295274,3766579
28934663,3110859
174083442,3235986
109781249,2737065
43590857,1785020
56108108,1795975
22902960,1771298
39286967,2899040
124648236,2987099
32539505,2531853
66664836,1782617
74702846,1829683
45317842,1830533
32372157,1949534
63306864,1905202
133264411,2635656
50610799,3015577
124276249,3083333
39749371,3124689
39712925,1794162
39951776,1807986
39195229,2304838
67038333,1830419
67026817,1961990
41808689,2300020
26298786,1810633
28033068,2473950
35163842,1800606
87138879,1736956
51942257,1783838
76171477,1849492
48118637,2224799
38527213,1861591
121979011,1788408
46431555,3096790
29312892,1601341
70435737,2915506
115561010,2756301
53329669,2193392
28074645,1666359
38022973,1735437
41797233,1981527
48520193,1809085
46657503,2098687
68045209,2388094
74873104,1827558
52841571,1676989
90012905,1983110
28745945,5545076
75544236,2543514
40619158,1808368
60717608,3048648
61411002,1801235
39678378,1807544
126872101,3589847
56659574,2068767
45342665,1782889
31887895,2562425
51108438,2926810
52662342,2866450
38694233,2034752
66660986,1762219
46727813,1702695
84131060,1881723
93797680,1931671
54254930,3069155
39587737,2061209
21622224,1722554
33052189,1815014
40448237,3060425
38570985,1837224
135107154,1782552
147241558,1750618
55062117,2799244
47044062,1742275
87721713,1997359
49598062,3031827
127671979,3307471
54074258,2000705
24804251,1882393
35125310,1933195
83215163,1782134
73855966,1656522
95176164,2106420
59711260,2416787
41001565,3119287
27759100,2850578
27256536,1785895
126876909,1730123
45053684,1927203
66942598,3045907
23620006,1881113
52940087,2934370
39107827,2053480
87347400,3079939
49363191,1819523
40844068,1867899
25454871,2062883
44266934,3003492
29247304,1609409
28992811,1807719
50576383,2204440
38076032,1773332
204925560,2701808
143726240,1765465
28257168,1730759
68045191,1900040
122595897,2337614
43346309,1706181
85474789,1706258
83787718,2074716
121765261,3090781
61394481,1764452
90866336,1669426
41675452,1789323
51073633,2035082
43306526,1768106
28004148,2160383
48858785,2166514
85027751,2778328
54556187,1866044
74730506,1849689
62695261,2998167
44892187,1809997
104591955,1862965
59821699,2983358
29213640,2278552
94430373,2546673
35519485,1749667
40555458,1774793
47618757,2014017
60871928,1851629
38911806,1721115
43921936,1786319
23913536,1708934
101446834,2058892
93251868,1697332
42247864,2138245
38533607,1769553
58681293,1587745
25334657,1710305
43411648,1785628
59134097,1753342
45870567,2910281
53871097,2897155
36018327,1853546
59091642,1639544
34712648,1673300
142548794,1761566
47318010,1831394
36627322,1807253
51320862,2124910
48833704,1879277
70647400,2020226
87440695,1797062
50860671,2030681
46517946,1694728
63359844,1752251
57476751,1990397
66144285,2449222
32801892,2848147
27430694,1940922
72377637,1739908
68469972,3949393
33814606,1811522
49049232,1864389
40203592,4979234
23480915,1928049
78264163,2281076
46152384,1964068
88714684,1708066
42039277,2881210
45390886,1760715
56696614,1660134
52895057,1758113
62776143,2884668
59240378,2970128
48858507,1769396
56769476,1811839
62526936,2946313
35269314,1826894
28861345,2088390
45166621,2235621
84601082,1605087
61832063,2193162
30795755,2834416
36598055,1689202
35409998,2181861
52515032,1827874
36499512,1568846
77439976,1686249
95560494,2056199
118762040,1732548
61193631,1628838
42090288,1708548
28627611,1830934
49619592,2061189
33457972,1741108
41203027,1946268
51018950,1874930
57713951,1772893
95600197,1733891
43634322,1794753
93130278,1913499
53020970,1832050
47107974,1611781
60506812,2321684
46529857,1783503
116644167,1652720
63618597,1791102
49643848,1599152
102402633,1715306
57869480,1907359
50052592,1815853
46432646,1694325
40415390,2169709
140333455,1820836
27063480,1737282
34189583,1684031
35081384,1600615
94633746,1769059
42649147,2005036
87135077,1684578
71478848,2000435
52589705,1666145
64743846,1912279
75167481,2978907
81366439,2445394
44169015,1580586
49311180,1932930
91131220,2858708
56460213,3087269
43168700,1966561
68036965,3122042
67569112,2608926
59235985,1747201
81557468,1554888
54054990,1684884
29677995,1575529
35761113,1813381
74143606,1709233
81206468,2978573
56453666,1731881
54189380,2859257
36473303,1873386
41460004,1817414
80174161,2064668
41473800,1744380
49826984,1677661
83530548,2064784
69825525,2942399
67039705,1700861
74999203,1822200
43881173,2859829
30959000,2974975
35682601,1774136
43089302,1624353
49781820,1924501
57151798,2281476
119169289,2486109
34003768,1686872
36659326,1710458
58602178,3222644
64718485,1654714
48467151,1761949
63513401,2828792
62151067,1693723
26443331,1728957
107288169,1676669
63134755,1853867
60786406,1712525
72747124,1655411
34053572,2994403
26127386,1896826
66221381,1712116
65071876,1691871
42483216,2371550
102013582,1722321
88610265,1851109
76624299,1745655
76653943,2759765
33659878,1836517
91263595,2854352
120467195,2932717
239468291,1632678
78534307,1642483
83510897,2887096
49878825,1850176
